taxon,n.taxa
Ampelopteris,1
Ananthacorus,1
Anchistea,1
Arachniodes,1
Blechnidium,1
Brainea,1
Cheiloplecton,1
Claytosmunda,1
Cleistoblechnum,1
Cosentinia,1
Cystodium,1
Didymochlaena,1
Draconopteris,1
Dryopolystichum,1
Gleichenella,1
Gymnogrammitis,1
Helminthostachys,1
Hemidictyum,1
Homalosorus,1
Icarus,1
Leptolepia,1
Llavea,1
Lorinseria,1
Loxsoma,1
Loxsomopsis,1
Malaifilix,1
Mankyua,1
Matteuccia,1
Maxonia,1
Mesopteris,1
Neoblechnum,1
Onoclea,1
Onocleopsis,1
Osmundastrum,1
Parahemionitis,1
Pleurosoriopsis,1
Regnellidium,1
Rheopteris,1
Scoliosorus,1
Stromatopteris,1
Thyrsopteris,1
Trichoneuron,1
Arthrobotrya,2
Blechnopsis,2
Botrypus,2
Cheiroglossa,2
Christensenia,2
Chrysogrammitis,2
Culcita,2
Cyclosorus,2
Desmophlebium,2
Dictymia,2
Dracoglossum,2
Eupodium,2
Leucostegia,2
Lomaphlebia,2
Lonchitis,2
Matonia,2
Nesolindsaea,2
Oenotrichia,2
Pentarhizidium,2
Phanerosorus,2
Psilotum,2
Strophocaulon,2
Telmatoblechnum,2
Thelypteris,2
Thylacopteris,2
Todea,2
Acrostichum,3
Acystopteris,3
Antrophyopsis,3
Cheiropleuria,3
Diplaziopsis,3
Hecistopteris,3
Hypoderris,3
Micropolypodium,3
Olfersia,3
Ophioderma,3
Oreopteris,3
Salpichlaena,3
Sphenomeris,3
Synammia,3
Pteridium,4
Aspidotis,4
Calciphilopteris,4
Cephalomanes,4
Cerosora,4
Glaphyropteridopsis,4
Lophosoria,4
Osmunda,4
Phegopteris,4
Phlebodium,4
Plenasium,4
Trachypteris,4
Tryonia,4
Vaginularia,4
Anogramma,5
Bommeria,5
Callistopteris,5
Calochlaena,5
Galactodenia,5
Hemionitis,5
Paragymnopteris,5
Pilularia,5
Spicantopsis,5
Struthiopteris,5
Zealandia,5
Actiniopteris,6
Austrogramme,6
Ceratopteris,6
Cyclopeltis,6
Diploblechnum,6
Leptopteris,6
Leucotrichum,6
Lomaria,6
Metaxya,6
Monachosorum,6
Ormopteris,6
Pentagramma,6
Sadleria,6
Archigrammitis,7
Histiopteris,7
Marattia,7
Mildella,7
Osmolindsaea,7
Scleroglossum,7
Stenochlaena,7
Vittaria,7
Astrolepis,8
Cyclogramma,8
Dipteris,8
Gymnocarpium,8
Oceaniopteris,8
Phanerophlebia,8
Polystichopsis,8
Rhachidosorus,8
Rumohra,8
Trigonospora,8
Azolla,9
Cibotium,9
Adenophorus,10
Cryptogramma,10
Cyclodium,10
Leptochilus,10
Macrothelypteris,10
Mickelia,10
Niphidium,10
Onychium,10
Polytaenium,10
Pteridrys,10
Radiovittaria,10
Cranfillia,11
Enterosora,11
Pseudocyclosorus,11
Xiphopterella,11
Amblovenatum,12
Dasygrammitis,12
Lytoneuron,12
Metathelypteris,12
Salvinia,12
Terpsichore,12
Lecanopteris,13
Teratophyllum,13
Woodwardia,13
Pterozonium,14
Actinostachys,15
Arthropteris,15
Equisetum,15
Gleichenia,15
Lomagramma,15
Mesophlebion,15
Oleandra,15
Paesia,15
Plagiogyria,15
Polyphlebium,15
Syngramma,15
Taenitis,15
Tmesipteris,15
Vandenboschia,15
Lastreopsis,16
Lomaridium,16
Notogrammitis,16
Ascogrammitis,17
Platycerium,18
Cochlidium,18
Saccoloma,18
Stegnogramma,18
Tapeinidium,18
Doodia,19
Gaga,19
Lomariocycas,19
Nephrolepis,19
Argyrochosma,20
Blotiella,20
Chingia,20
Coniogramme,20
Dicranopteris,20
Hypodematium,20
Pityrogramma,20
Pleocnemia,20
Pseudophegopteris,20
Ptisana,20
Schizaea,20
Triplophyllum,20
Doryopteris,21
Mycopteris,21
Steiropteris,22
Odontosoria,23
Ctenopterella,24
Abrodictyum,25
Diplopterygium,25
Goniophlebium,25
Sceptridium,25
Alansmia,26
Cystopteris,26
Dicksonia,26
Meniscium,27
Parapolystichum,28
Melpomene,29
Angiopteris,30
Blechnum,30
Crepidomanes,30
Didymoglossum,30
Hymenasplenium,30
Loxogramme,30
Microgramma,30
Notholaena,30
Plesioneuron,30
Moranopteris,31
Stenogrammitis,31
Polybotrya,35
Adiantopsis,35
Botrychium,35
Cyrtomium,35
Woodsia,39
Lygodium,40
Serpocaulon,40
Aleuritopteris,40
Antrophyum,40
Austroblechnum,40
Haplopteris,40
Microsorum,40
Pecluma,40
Pellaea,40
Polypodium,40
Stigmatopteris,40
Ophioglossum,41
Tomophyllum,42
Grammitis,43
Myriopteris,45
Coryphopteris,47
Lellingeria,49
Campyloneurum,50
Drynaria,50
Danaea,50
Jamesonia,50
Pyrrosia,52
Marsilea,55
Lomariopsis,60
Microlepia,60
Trichomanes,60
Calymmodon,65
Davallia,65
Parablechnum,65
Pronephrium,68
Christella,70
Dennstaedtia,70
Deparia,70
Ceradenia,73
Bolbitis,80
Hypolepis,80
Lepisorus,80
Pneumatopteris,80
Selliguea,85
Prosaptia,87
Pleopeltis,90
Megalastrum,91
Sticherus,95
Cheilanthes,100
Sphaeropteris,103
Anemia,115
Goniopteris,120
Ctenitis,125
Oreogrammitis,156
Lindsaea,180
Sphaerostephanos,185
Tectaria,200
Amauropelta,215
Adiantum,225
Athyrium,230
Hymenophyllum,250
Pteris,250
Cyathea,265
Alsophila,275
Diplazium,350
Dryopteris,400
Polystichum,500
Elaphoglossum,600
Asplenium,700
Abacopteris,3
Adetogramma,1
Anisocampium,4
Baja,1
Bosmania,3
Cornopteris,11
Cystocarpium,1
Dendroconche,6
Ephemeropteris,3
Gastoniella,3
Grypothrix,6
Gymnosphaera,2
Hiya,4
Hoiokula,2
Hovenkampia,3
Japanobotrychum,2
Leptogramma,19
Lindsaeosoria,1
Menisciopsis,5
Mickelopteris,1
Mineirella,2
Oeosporangium,15
Orthiopteris,11
Osmunasium,1
Pakau,1
Parrisia,2
Pelazoneuron,6
Physematium,10
Pichisermollodes,15
Polydictyum,3
Pseudathyrium,1
Reholttumia,3
Rouxopteris,1
Sahashia,1